-0.000000,-0.598111,-0.958668,-0.938468,-0.545535,0.064070,0.648228,0.974928,0.914413,0.490718,-0.127877,-0.695683,-0.987182,-0.886599,-0.433884,0.191159,0.740278,0.995379,0.855143,0.375267,-0.253655,-0.781831,-0.999486,-0.820172,-0.315108,0.315108,0.820172,0.999486,0.781831,0.253655,-0.375267,-0.855143,-0.995379,-0.740278,-0.191159,0.433884,0.886599,0.987182,0.695683,0.127877,-0.490718,-0.914413,-0.974928,-0.648228,-0.064070,0.545535,0.938468,0.958668,0.598111,0.000000
-0.099833,-0.675130,-0.982284,-0.899301,-0.459140,0.163378,0.721008,0.992272,0.869433,0.401279,-0.226252,-0.763922,-0.998183,-0.835993,-0.341769,0.288196,0.803698,0.999993,0.799118,0.280855,-0.348956,-0.840171,-0.997693,-0.758958,-0.218787,0.408281,0.873191,0.991293,0.715680,0.155819,-0.465929,-0.902624,-0.980820,-0.669462,-0.092211,0.521663,0.928347,0.966317,0.620492,0.028225,-0.575253,-0.950255,-0.947842,-0.568972,0.035878,0.626479,0.968259,0.925473,0.515115,-0.099833
-0.198669,-0.745404,-0.996085,-0.851148,-0.368158,0.261054,0.786583,0.999702,0.815767,0.307832,-0.322366,-0.824529,-0.999211,-0.777034,-0.246240,0.382354,0.859087,0.994615,0.735108,0.183637,-0.440770,-0.890115,-0.985931,-0.690161,-0.120279,0.497375,0.917485,0.973195,0.642379,0.056427,-0.551937,-0.941086,-0.956461,-0.591956,0.007658,0.604230,0.960819,0.935796,0.539101,-0.071710,-0.654040,-0.976603,-0.911286,-0.484031,0.135468,0.701163,0.988375,0.883031,0.426972,-0.198669
-0.295520,-0.808231,-0.999934,-0.794491,-0.273497,0.356122,0.844299,0.997144,0.753950,0.211308,-0.415260,-0.876898,-0.990256,-0.710311,-0.148250,0.472691,0.905893,0.979299,0.663754,0.084584,-0.528181,-0.931166,-0.964318,-0.614468,-0.020569,0.581500,0.952613,0.945374,0.562658,-0.043530,-0.632429,-0.970145,-0.922545,-0.508536,0.107450,0.680759,0.983690,0.895926,0.452324,-0.170928,-0.726293,-0.993193,-0.865625,-0.394254,0.233704,0.768841,0.998615,0.831767,0.334563,-0.295520
-0.389418,-0.862981,-0.993792,-0.729895,-0.176104,0.447631,0.893579,0.984622,0.684600,0.112673,-0.504004,-0.920504,-0.971406,-0.636491,-0.048780,0.558306,0.943647,0.954198,0.585767,-0.015315,-0.610314,-0.962913,-0.933069,-0.532636,0.079346,0.659814,0.978221,0.908106,0.477316,-0.143051,-0.706602,-0.989510,-0.879412,-0.420035,0.206168,0.750487,0.996733,0.847104,0.361028,-0.268439,-0.791288,-0.999860,-0.811314,-0.300537,0.329606,0.828838,0.998878,0.772191,0.238811,-0.389418
-0.479426,-0.909110,-0.977720,-0.658007,-0.076951,0.534667,0.933931,0.962262,0.608409,0.012913,-0.587712,-0.954914,-0.942850,-0.556311,0.051179,0.638342,0.971973,0.919563,0.501928,-0.115060,-0.686349,-0.985039,-0.892498,-0.445482,0.178468,0.731535,0.994056,0.861765,0.387205,-0.241143,-0.773715,-0.998989,-0.827491,-0.327337,0.302827,0.812716,0.999817,0.789817,0.266124,-0.363267,-0.848378,-0.996536,-0.748898,-0.203817,0.422214,0.880553,0.989160,0.704900,0.140673,-0.479426
-0.564642,-0.946154,-0.951879,-0.579544,0.022971,0.616362,0.964951,0.930287,0.526139,-0.086977,-0.665548,-0.979782,-0.904873,-0.470573,0.150626,0.712000,0.990587,0.875741,0.413073,-0.213655,-0.755526,-0.997322,-0.843009,-0.353876,0.275807,0.795947,0.999959,0.806814,0.293225,-0.336826,-0.833098,-0.998486,-0.767303,-0.231368,0.396460,0.866825,0.992911,0.724639,0.168561,-0.454465,-0.896990,-0.983255,-0.678998,-0.105061,0.510603,0.923470,0.969559,0.630566,0.041130,-0.564642
-0.644218,-0.973745,-0.916527,-0.495290,0.122663,0.691898,0.986329,0.889018,0.438613,-0.185997,-0.736735,-0.994861,-0.857855,-0.380133,0.248567,0.778544,0.999304,0.823168,0.320092,-0.310116,-0.817154,-0.999641,-0.785097,-0.258735,0.370390,0.852407,0.995870,0.743801,0.196315,-0.429143,-0.884156,-0.988007,-0.699448,-0.133088,0.486132,0.912273,0.976084,0.652221,0.069314,-0.541123,-0.936640,-0.960150,-0.602314,-0.005255,0.593890,0.957159,0.940271,0.549932,-0.058825,-0.644218
-0.717356,-0.991607,-0.872018,-0.406088,0.221130,0.760520,0.997853,0.838866,0.346704,-0.283160,-0.800559,-0.999999,-0.802266,-0.285895,0.344026,0.837309,0.998036,0.762370,0.223912,-0.403478,-0.870618,-0.991971,-0.719341,-0.161008,0.461273,0.900349,0.981831,0.673356,0.097443,-0.517172,-0.926380,-0.967656,-0.624605,-0.033478,0.570946,0.948605,0.949504,0.573286,-0.030626,-0.622374,-0.966932,-0.927451,-0.519612,0.094603,0.671244,0.981285,0.901587,0.463803,-0.158191,-0.717356
-0.783327,-0.999560,-0.818796,-0.312828,0.317387,0.821544,0.999406,0.780332,0.251330,-0.377492,-0.856386,-0.995146,-0.738661,-0.188800,0.436047,0.887708,0.986796,0.693955,0.125494,-0.492809,-0.915382,-0.974391,-0.646397,-0.061673,0.547546,0.939295,0.957982,0.596184,-0.002402,-0.600034,-0.959349,-0.937636,-0.543520,0.066467,0.650056,0.975460,0.913438,0.488623,-0.130259,-0.697406,-0.987562,-0.885486,-0.431718,0.193516,0.741891,0.995607,0.853895,0.373039,-0.255977,-0.783327
